495, 23
26, 521
33, 335
23, 26
22, 27
23, 23
533, 25
24, 22
24, 1597
20, 20
18, 563
531, 18
243, 19
22, 58
563, 21
23, 23
21, 40
543, 1120
25, 22
376, 19
21, 516
638, 18
20, 19
52, 331
383, 23
25, 394
23, 61
21, 24
367, 193
32, 333
1311, 18
175, 23
267, 19
21, 20
546, 268
22, 246
461, 518
28, 23
440, 661
24, 544
26, 353
196, 531
414, 143
985, 25
22, 22
408, 80
81, 25
241, 243
20, 533
996, 553
24, 20
487, 656
23, 302
543, 238
21, 27
18, 20
30, 836
22, 535
21, 21
363, 16
20, 24
19, 471
22, 21
26, 116
21, 18
21, 302
23, 84
21, 415
21, 19
26, 20
25, 1077
543, 22
21, 19
352, 24
25, 23
100, 24
25, 545
530, 19
22, 440
853, 23
28, 22
19, 565
547, 22
700, 561
20, 333
394, 17
457, 181
222, 551
560, 20
241, 22
26, 20
747, 24
551, 23
95, 22
20, 177
509, 24
29, 24
27, 34
28, 327
91, 24
27, 804
766, 26
32, 865
240, 26
553, 23
27, 24
56, 21
22, 37
76, 22
724, 24
27, 91
372, 26
26, 367
24, 257
94, 28
555, 25
132, 23
321, 215
29, 26
26, 28
26, 254
256, 24
20, 150
207, 27
31, 519
25, 26
556, 33
26, 25
308, 195
29, 268
510, 31
27, 458
26, 352
521, 24
24, 567
26, 315
23, 477
315, 25
25, 26
567, 24
181, 483
315, 263
27, 29
24, 21
25, 26
22, 24
22, 22
27, 353
282, 57
543, 345
29, 28
551, 24
23, 481
1150, 92
216, 32
28, 24
27, 28
27, 488
20, 25
27, 547
26, 1108
25, 356
26, 27
29, 91
561, 26
30, 23
25, 26
560, 27
564, 25
541, 322
27, 24
29, 31
22, 181
84, 446
544, 27
23, 26
500, 28
28, 25
570, 21
26, 39
563, 255
26, 28
26, 56
27, 29
551, 555
1043, 549
358, 1298
29, 28
388, 29
28, 27
25, 59
29, 22
798, 451
26, 31
29, 235
26, 26
182, 317
27, 25
146, 23
29, 28
28, 240
28, 27
24, 24
540, 509
27, 26
28, 26
25, 25
26, 24
19, 520
223, 602
21, 181
550, 26
35, 27
29, 25
423, 569
29, 321
1122, 556
30, 259
560, 568
908, 32
578, 358
32, 1032
33, 34
577, 195
27, 355
261, 36
464, 128
521, 38
37, 38
33, 36
30, 31
32, 413
528, 39
549, 31
37, 37
35, 33
33, 32
582, 561
355, 303
36, 402
41, 38
36, 33
191, 30
374, 146
32, 156
564, 35
40, 37
34, 32
28, 577
93, 479
1114, 31
568, 559
37, 41
34, 31
32, 431
32, 62
752, 30
46, 243
41, 38
34, 32
29, 489
29, 28
32, 27
448, 25
34, 33
34, 34
30, 30
28, 735
547, 531
29, 407
33, 38
36, 33
29, 125
38, 35
33, 32
31, 31
35, 293
554, 37
556, 31
193, 38
39, 40
34, 33
34, 32
355, 27
569, 776
59, 852
43, 40
36, 34
33, 31
29, 558
32, 1041
36, 1002
218, 37
37, 36
29, 32
579, 33
1187, 34
31, 477
40, 39
36, 34
31, 28
24, 29
32, 518
524, 412
531, 35
36, 35
32, 29
251, 171
580, 28
995, 563
37, 574
39, 40
32, 31
30, 459
256, 32
327, 68
531, 422
36, 38
34, 31
31, 562
31, 529
603, 31
36, 524
37, 35
32, 30
1100, 30
34, 804
40, 37
30, 30
583, 94
1076, 41
29, 492
36, 41
39, 36
33, 32
31, 30
566, 547
560, 233
1097, 552
35, 39
36, 35
33, 519
28, 595
550, 36
35, 554
429, 38
38, 39
33, 29
249, 37
32, 183
619, 35
34, 35
37, 38
31, 29
121, 498
188, 850
1013, 44
37, 393
40, 40
33, 31
32, 30
122, 1132
94, 135
562, 725
38, 36
35, 31
33, 285
748, 441
35, 630
551, 573
41, 40
34, 35
31, 32
131, 1154
942, 33
30, 550
38, 39
39, 35
34, 184
32, 33
525, 582
1645, 32
33, 41
31, 552
30, 152
33, 844
34, 39
38, 33
31, 30
549, 503
32, 36
1174, 30
537, 35
36, 34
190, 33
